,party,positive,neutral,negative,positive_rank,neutral_rank,negative_rank,session
37,DIE LINKE,0.225,0.5729166666666666,0.20208333333333334,5.0,6.0,1.0,19007
38,CDU/CSU,0.27928772258669166,0.619493908153702,0.10121836925960637,2.0,4.0,5.0,19007
39,FDP,0.2565597667638484,0.6443148688046647,0.09912536443148688,3.0,2.0,6.0,19007
40,BÜNDNIS 90/DIE GRÜNEN,0.22903225806451613,0.6290322580645161,0.14193548387096774,4.0,3.0,2.0,19007
41,SPD,0.28425655976676384,0.6049562682215743,0.11078717201166181,1.0,5.0,4.0,19007
42,AfD,0.20136518771331058,0.6860068259385665,0.11262798634812286,6.0,1.0,2.0,19008
43,DIE LINKE,0.2079207920792079,0.6138613861386139,0.1782178217821782,5.0,4.0,1.0,19008
44,CDU/CSU,0.2821270310192024,0.6070901033973413,0.11078286558345643,3.0,6.0,3.0,19008
45,FDP,0.26153846153846155,0.6615384615384615,0.07692307692307693,4.0,2.0,6.0,19008
46,BÜNDNIS 90/DIE GRÜNEN,0.2830188679245283,0.6226415094339622,0.09433962264150944,2.0,3.0,4.0,19008
47,SPD,0.2978723404255319,0.6109422492401215,0.0911854103343465,1.0,5.0,5.0,19008
48,AfD,0.1875,0.703125,0.109375,6.0,3.0,3.0,19009
49,DIE LINKE,0.2127659574468085,0.5319148936170213,0.2553191489361702,5.0,6.0,1.0,19009
50,CDU/CSU,0.3375796178343949,0.6050955414012739,0.05732484076433121,1.0,4.0,6.0,19009
51,FDP,0.21978021978021978,0.7142857142857143,0.06593406593406594,4.0,1.0,4.0,19009
52,BÜNDNIS 90/DIE GRÜNEN,0.23529411764705882,0.7058823529411765,0.058823529411764705,3.0,2.0,5.0,19009
53,SPD,0.3333333333333333,0.5512820512820513,0.11538461538461539,2.0,5.0,2.0,19009
54,AfD,0.18848167539267016,0.7591623036649214,0.05235602094240838,4.0,1.0,5.0,19010
55,DIE LINKE,0.17525773195876287,0.6701030927835051,0.15463917525773196,5.0,3.0,2.0,19010
56,CDU/CSU,0.24413145539906103,0.6431924882629108,0.11267605633802817,2.0,5.0,3.0,19010
57,FDP,0.17010309278350516,0.7525773195876289,0.07731958762886598,6.0,2.0,4.0,19010
58,BÜNDNIS 90/DIE GRÜNEN,0.3375,0.65,0.0125,1.0,4.0,6.0,19010
59,SPD,0.2028985507246377,0.6231884057971014,0.17391304347826086,3.0,6.0,1.0,19010
60,AfD,0.20801526717557253,0.6774809160305344,0.11450381679389313,4.0,1.0,3.0,19011
61,DIE LINKE,0.15770609318996415,0.6111111111111112,0.23118279569892472,6.0,6.0,1.0,19011
62,CDU/CSU,0.26521060842433697,0.6294851794071763,0.10530421216848673,1.0,5.0,5.0,19011
63,FDP,0.2345924453280318,0.6699801192842942,0.09542743538767395,3.0,3.0,6.0,19011
64,BÜNDNIS 90/DIE GRÜNEN,0.17218543046357615,0.6754966887417219,0.152317880794702,5.0,2.0,2.0,19011
65,SPD,0.24779874213836478,0.6440251572327044,0.10817610062893082,2.0,4.0,4.0,19011
66,AfD,0.17802197802197803,0.7164835164835165,0.1054945054945055,6.0,1.0,5.0,19012
67,DIE LINKE,0.22727272727272727,0.5041322314049587,0.26859504132231404,4.0,6.0,1.0,19012
68,CDU/CSU,0.2597911227154047,0.6579634464751958,0.08224543080939947,2.0,2.0,6.0,19012
69,FDP,0.22866894197952217,0.6518771331058021,0.11945392491467577,3.0,3.0,3.0,19012
70,BÜNDNIS 90/DIE GRÜNEN,0.21722846441947566,0.602996254681648,0.1797752808988764,5.0,4.0,2.0,19012
71,SPD,0.2864721485411141,0.5941644562334217,0.11936339522546419,1.0,5.0,4.0,19012
72,AfD,0.13513513513513514,0.6864864864864865,0.1783783783783784,5.0,2.0,3.0,19013
73,DIE LINKE,0.13,0.57,0.3,6.0,6.0,1.0,19013
74,CDU/CSU,0.21875,0.6197916666666666,0.16145833333333334,2.0,4.0,4.0,19013
75,FDP,0.14925373134328357,0.7611940298507462,0.08955223880597014,4.0,1.0,6.0,19013
76,BÜNDNIS 90/DIE GRÜNEN,0.26244343891402716,0.6289592760180995,0.1085972850678733,1.0,3.0,5.0,19013
77,SPD,0.18446601941747573,0.5825242718446602,0.23300970873786409,3.0,5.0,2.0,19013
78,AfD,0.19326500732064422,0.6969253294289898,0.10980966325036604,5.0,1.0,4.0,19014
79,DIE LINKE,0.18088235294117647,0.5955882352941176,0.2235294117647059,6.0,5.0,1.0,19014
80,CDU/CSU,0.26674364896073904,0.6472286374133949,0.08602771362586605,2.0,3.0,6.0,19014
81,FDP,0.2059282371294852,0.672386895475819,0.12168486739469579,4.0,2.0,3.0,19014
82,BÜNDNIS 90/DIE GRÜNEN,0.2411764705882353,0.5588235294117647,0.2,3.0,6.0,2.0,19014
83,SPD,0.2826887661141805,0.6215469613259669,0.09576427255985268,1.0,4.0,5.0,19014
84,AfD,0.2084592145015106,0.676737160120846,0.1148036253776435,4.0,1.0,5.0,19015
85,DIE LINKE,0.16956521739130434,0.6347826086956522,0.1956521739130435,6.0,5.0,1.0,19015
86,CDU/CSU,0.2369047619047619,0.6666666666666666,0.09642857142857143,2.0,2.0,6.0,19015
87,FDP,0.2973856209150327,0.5751633986928104,0.12745098039215685,1.0,6.0,3.0,19015
88,BÜNDNIS 90/DIE GRÜNEN,0.18518518518518517,0.6666666666666666,0.14814814814814814,5.0,2.0,2.0,19015
89,SPD,0.21390374331550802,0.660427807486631,0.12566844919786097,3.0,4.0,4.0,19015
90,AfD,0.1487603305785124,0.7272727272727273,0.12396694214876033,6.0,1.0,4.0,19016
91,DIE LINKE,0.19689119170984457,0.6424870466321243,0.16062176165803108,4.0,5.0,2.0,19016
92,CDU/CSU,0.17272727272727273,0.7090909090909091,0.11818181818181818,5.0,3.0,5.0,19016
93,FDP,0.22448979591836735,0.6428571428571429,0.1326530612244898,2.0,4.0,3.0,19016
94,BÜNDNIS 90/DIE GRÜNEN,0.2147239263803681,0.7116564417177914,0.0736196319018405,3.0,2.0,6.0,19016
95,SPD,0.2553191489361702,0.48936170212765956,0.2553191489361702,1.0,6.0,1.0,19016
96,AfD,0.21621621621621623,0.681912681912682,0.10187110187110188,6.0,1.0,5.0,19017
97,DIE LINKE,0.22939866369710468,0.576837416481069,0.19376391982182628,5.0,5.0,1.0,19017
98,CDU/CSU,0.2529832935560859,0.6340493237867939,0.11296738265712013,3.0,3.0,4.0,19017
99,FDP,0.24336283185840707,0.6349557522123894,0.12168141592920353,4.0,2.0,3.0,19017
100,BÜNDNIS 90/DIE GRÜNEN,0.2932692307692308,0.5240384615384616,0.18269230769230768,1.0,6.0,2.0,19017
101,SPD,0.2773972602739726,0.6301369863013698,0.09246575342465753,2.0,4.0,6.0,19017
102,AfD,0.20391061452513967,0.6731843575418994,0.12290502793296089,4.0,2.0,3.0,19018
103,DIE LINKE,0.17465753424657535,0.613013698630137,0.21232876712328766,6.0,6.0,1.0,19018
104,CDU/CSU,0.2039072039072039,0.684981684981685,0.1111111111111111,5.0,1.0,5.0,19018
105,FDP,0.26666666666666666,0.6355555555555555,0.09777777777777778,1.0,3.0,6.0,19018
106,BÜNDNIS 90/DIE GRÜNEN,0.22857142857142856,0.6285714285714286,0.14285714285714285,3.0,5.0,2.0,19018
107,SPD,0.2526539278131635,0.6305732484076433,0.11677282377919321,2.0,4.0,4.0,19018
108,CDU/CSU,0.3333333333333333,0.6666666666666666,0.0,1.0,1.0,1.0,19019
109,AfD,0.0,0.0,0.0,2.0,2.0,1.0,19019
110,FDP,0.0,0.0,0.0,2.0,2.0,1.0,19019
111,BÜNDNIS 90/DIE GRÜNEN,0.0,0.0,0.0,2.0,2.0,1.0,19019
112,SPD,0.0,0.0,0.0,2.0,2.0,1.0,19019
113,DIE LINKE,0.0,0.0,0.0,2.0,2.0,1.0,19019
114,AfD,0.2187028657616893,0.6877828054298643,0.09351432880844646,5.0,1.0,5.0,19020
115,DIE LINKE,0.17151607963246554,0.5880551301684533,0.24042879019908117,6.0,6.0,1.0,19020
116,CDU/CSU,0.29776496034607064,0.6128334534967556,0.08940158615717375,1.0,4.0,6.0,19020
117,FDP,0.2542056074766355,0.6299065420560748,0.11588785046728972,2.0,3.0,3.0,19020
118,BÜNDNIS 90/DIE GRÜNEN,0.23121387283236994,0.5895953757225434,0.1791907514450867,4.0,5.0,2.0,19020
119,SPD,0.24461538461538462,0.6492307692307693,0.10615384615384615,3.0,2.0,4.0,19020
120,AfD,0.17058823529411765,0.6705882352941176,0.1588235294117647,6.0,2.0,3.0,19021
121,DIE LINKE,0.22959183673469388,0.4897959183673469,0.28061224489795916,3.0,6.0,1.0,19021
122,CDU/CSU,0.23118279569892472,0.6559139784946236,0.11290322580645161,2.0,3.0,4.0,19021
123,FDP,0.22624434389140272,0.6877828054298643,0.08597285067873303,4.0,1.0,6.0,19021
124,BÜNDNIS 90/DIE GRÜNEN,0.20430107526881722,0.5806451612903226,0.21505376344086022,5.0,5.0,2.0,19021
125,SPD,0.24773413897280966,0.6404833836858006,0.11178247734138973,1.0,4.0,5.0,19021
126,AfD,0.18664047151277013,0.7269155206286837,0.08644400785854617,4.0,1.0,3.0,19022
127,DIE LINKE,0.17647058823529413,0.6289592760180995,0.19457013574660634,6.0,4.0,1.0,19022
128,CDU/CSU,0.29772079772079774,0.6282051282051282,0.07407407407407407,2.0,5.0,5.0,19022
129,FDP,0.23482849604221637,0.683377308707124,0.08179419525065963,3.0,2.0,4.0,19022
130,BÜNDNIS 90/DIE GRÜNEN,0.18292682926829268,0.6463414634146342,0.17073170731707318,5.0,3.0,2.0,19022
131,SPD,0.3524904214559387,0.5823754789272031,0.06513409961685823,1.0,6.0,6.0,19022
132,AfD,0.18803418803418803,0.698005698005698,0.11396011396011396,6.0,1.0,2.0,19023
133,DIE LINKE,0.20476190476190476,0.5904761904761905,0.20476190476190476,5.0,6.0,1.0,19023
134,CDU/CSU,0.2874913614374568,0.6420179682100898,0.07049067035245335,3.0,3.0,6.0,19023
135,FDP,0.2886740331491713,0.6187845303867403,0.0925414364640884,2.0,5.0,4.0,19023
136,BÜNDNIS 90/DIE GRÜNEN,0.22641509433962265,0.6792452830188679,0.09433962264150944,4.0,2.0,3.0,19023
137,SPD,0.29810901001112344,0.6218020022246941,0.08008898776418243,1.0,4.0,5.0,19023
138,AfD,0.27684964200477324,0.6348448687350835,0.0883054892601432,4.0,2.0,4.0,19024
139,DIE LINKE,0.1695906432748538,0.6140350877192983,0.21637426900584794,6.0,4.0,1.0,19024
140,CDU/CSU,0.28489208633093527,0.637410071942446,0.0776978417266187,3.0,1.0,6.0,19024
141,FDP,0.3133159268929504,0.5926892950391645,0.09399477806788512,2.0,5.0,3.0,19024
142,BÜNDNIS 90/DIE GRÜNEN,0.273224043715847,0.6229508196721312,0.10382513661202186,5.0,3.0,2.0,19024
143,SPD,0.37056737588652483,0.5478723404255319,0.08156028368794327,1.0,6.0,5.0,19024
144,AfD,0.21551724137931033,0.6982758620689655,0.08620689655172414,5.0,2.0,4.0,19025
145,DIE LINKE,0.22556390977443608,0.6390977443609023,0.13533834586466165,3.0,5.0,1.0,19025
146,CDU/CSU,0.2529182879377432,0.6186770428015564,0.12840466926070038,2.0,6.0,2.0,19025
147,FDP,0.2198581560283688,0.6879432624113475,0.09219858156028368,4.0,3.0,3.0,19025
148,BÜNDNIS 90/DIE GRÜNEN,0.18041237113402062,0.7577319587628866,0.061855670103092786,6.0,1.0,5.0,19025
149,SPD,0.32051282051282054,0.6538461538461539,0.02564102564102564,1.0,4.0,6.0,19025
150,AfD,0.21318681318681318,0.6725274725274726,0.11428571428571428,4.0,1.0,3.0,19026
151,DIE LINKE,0.20394736842105263,0.5815789473684211,0.21447368421052632,5.0,6.0,1.0,19026
152,CDU/CSU,0.28063241106719367,0.6212121212121212,0.0981554677206851,2.0,4.0,5.0,19026
153,FDP,0.25798212005108556,0.6475095785440613,0.09450830140485313,3.0,2.0,6.0,19026
154,BÜNDNIS 90/DIE GRÜNEN,0.2032967032967033,0.6263736263736264,0.17032967032967034,6.0,3.0,2.0,19026
155,SPD,0.2833333333333333,0.6138888888888889,0.10277777777777777,1.0,5.0,4.0,19026
156,AfD,0.19957983193277312,0.6701680672268907,0.13025210084033614,5.0,4.0,2.0,19027
157,DIE LINKE,0.2087912087912088,0.5384615384615384,0.25274725274725274,4.0,6.0,1.0,19027
158,CDU/CSU,0.24258760107816713,0.637466307277628,0.11994609164420485,1.0,5.0,3.0,19027
159,FDP,0.21428571428571427,0.7114285714285714,0.07428571428571429,2.0,2.0,6.0,19027
160,BÜNDNIS 90/DIE GRÜNEN,0.1415929203539823,0.7522123893805309,0.10619469026548672,6.0,1.0,4.0,19027
161,SPD,0.21160409556313994,0.6979522184300341,0.09044368600682594,3.0,3.0,5.0,19027
162,AfD,0.18181818181818182,0.7272727272727273,0.09090909090909091,6.0,1.0,3.0,19028
163,DIE LINKE,0.20625,0.64375,0.15,5.0,4.0,1.0,19028
164,CDU/CSU,0.23008849557522124,0.7079646017699115,0.061946902654867256,3.0,2.0,6.0,19028
165,FDP,0.22950819672131148,0.6885245901639344,0.08196721311475409,4.0,3.0,5.0,19028
166,BÜNDNIS 90/DIE GRÜNEN,0.2736842105263158,0.6421052631578947,0.08421052631578947,2.0,5.0,4.0,19028
167,SPD,0.33125,0.55625,0.1125,1.0,6.0,2.0,19028
168,AfD,0.2100502512562814,0.6763819095477387,0.1135678391959799,5.0,1.0,5.0,19029
169,DIE LINKE,0.2028368794326241,0.5390070921985816,0.2581560283687943,6.0,6.0,1.0,19029
170,CDU/CSU,0.27582227351413735,0.6243508366993653,0.0998268897864974,1.0,4.0,6.0,19029
171,FDP,0.245014245014245,0.6381766381766382,0.1168091168091168,2.0,2.0,4.0,19029
172,BÜNDNIS 90/DIE GRÜNEN,0.22433460076045628,0.6159695817490495,0.1596958174904943,4.0,5.0,2.0,19029
173,SPD,0.23986254295532647,0.6364261168384879,0.12371134020618557,3.0,3.0,3.0,19029
174,AfD,0.19428571428571428,0.7057142857142857,0.1,4.0,1.0,5.0,19030
175,DIE LINKE,0.1762114537444934,0.5682819383259912,0.2555066079295154,6.0,6.0,1.0,19030
176,CDU/CSU,0.25375939849624063,0.618421052631579,0.12781954887218044,1.0,5.0,4.0,19030
177,FDP,0.20588235294117646,0.634453781512605,0.15966386554621848,3.0,4.0,2.0,19030
178,BÜNDNIS 90/DIE GRÜNEN,0.1774193548387097,0.6854838709677419,0.13709677419354838,5.0,2.0,3.0,19030
179,SPD,0.25,0.6553398058252428,0.09466019417475728,2.0,3.0,6.0,19030
180,AfD,0.1974025974025974,0.6961038961038961,0.10649350649350649,6.0,1.0,2.0,19031
181,DIE LINKE,0.21717171717171718,0.5429292929292929,0.2398989898989899,5.0,6.0,1.0,19031
182,CDU/CSU,0.33781965006729475,0.6083445491251682,0.05383580080753701,1.0,5.0,6.0,19031
183,FDP,0.23958333333333334,0.6953125,0.06510416666666667,3.0,2.0,5.0,19031
184,BÜNDNIS 90/DIE GRÜNEN,0.21839080459770116,0.6839080459770115,0.09770114942528736,4.0,3.0,3.0,19031
185,SPD,0.2944606413994169,0.6282798833819242,0.07725947521865889,2.0,4.0,4.0,19031
186,AfD,0.1865079365079365,0.6845238095238095,0.12896825396825398,5.0,2.0,3.0,19032
187,DIE LINKE,0.2012987012987013,0.5714285714285714,0.22727272727272727,4.0,6.0,1.0,19032
188,CDU/CSU,0.2594086021505376,0.6733870967741935,0.06720430107526881,1.0,3.0,6.0,19032
189,FDP,0.2398286937901499,0.6274089935760171,0.13276231263383298,3.0,5.0,2.0,19032
190,BÜNDNIS 90/DIE GRÜNEN,0.16371681415929204,0.7389380530973452,0.09734513274336283,6.0,1.0,4.0,19032
191,SPD,0.24960254372019078,0.6693163751987281,0.08108108108108109,2.0,4.0,5.0,19032
192,AfD,0.2144212523719165,0.7096774193548387,0.07590132827324478,5.0,1.0,5.0,19033
193,DIE LINKE,0.19002375296912113,0.5938242280285035,0.2161520190023753,6.0,6.0,1.0,19033
194,CDU/CSU,0.3016393442622951,0.6218579234972678,0.07650273224043716,2.0,5.0,4.0,19033
195,FDP,0.24774774774774774,0.6734234234234234,0.07882882882882883,4.0,2.0,3.0,19033
196,BÜNDNIS 90/DIE GRÜNEN,0.25,0.6516393442622951,0.09836065573770492,3.0,3.0,2.0,19033
197,SPD,0.3083832335329341,0.624251497005988,0.06736526946107785,1.0,4.0,6.0,19033
198,AfD,0.18114143920595532,0.7121588089330024,0.10669975186104218,6.0,1.0,3.0,19034
199,DIE LINKE,0.18928571428571428,0.5428571428571428,0.26785714285714285,5.0,6.0,1.0,19034
200,CDU/CSU,0.33687405159332323,0.6069802731411229,0.05614567526555387,1.0,5.0,6.0,19034
201,FDP,0.2474747474747475,0.6313131313131313,0.12121212121212122,4.0,4.0,2.0,19034
202,BÜNDNIS 90/DIE GRÜNEN,0.2662337662337662,0.6493506493506493,0.08441558441558442,3.0,2.0,4.0,19034
203,SPD,0.29095354523227385,0.6405867970660146,0.06845965770171149,2.0,3.0,5.0,19034
204,AfD,0.2125984251968504,0.6299212598425197,0.15748031496062992,5.0,2.0,1.0,19035
205,DIE LINKE,0.18584070796460178,0.6991150442477876,0.11504424778761062,6.0,1.0,2.0,19035
206,CDU/CSU,0.30939226519337015,0.6243093922651933,0.06629834254143646,2.0,3.0,5.0,19035
207,FDP,0.2807017543859649,0.6198830409356725,0.09941520467836257,4.0,4.0,3.0,19035
208,BÜNDNIS 90/DIE GRÜNEN,0.30120481927710846,0.6144578313253012,0.08433734939759036,3.0,5.0,4.0,19035
209,SPD,0.34285714285714286,0.6057142857142858,0.05142857142857143,1.0,6.0,6.0,19035
210,AfD,0.19753086419753085,0.7019400352733686,0.10052910052910052,6.0,1.0,4.0,19036
211,DIE LINKE,0.19852164730728616,0.5997888067581837,0.2016895459345301,5.0,6.0,1.0,19036
212,CDU/CSU,0.2874493927125506,0.6310728744939271,0.08147773279352227,1.0,4.0,6.0,19036
213,FDP,0.26270136307311026,0.6369268897149938,0.10037174721189591,3.0,3.0,5.0,19036
214,BÜNDNIS 90/DIE GRÜNEN,0.22026431718061673,0.6563876651982379,0.12334801762114538,4.0,2.0,2.0,19036
215,SPD,0.2805816937553465,0.6090675791274593,0.11035072711719418,2.0,5.0,3.0,19036
216,AfD,0.1921487603305785,0.6756198347107438,0.1322314049586777,5.0,3.0,2.0,19037
217,DIE LINKE,0.15618661257606492,0.6044624746450304,0.23935091277890466,6.0,6.0,1.0,19037
218,CDU/CSU,0.23138510808646917,0.677341873498799,0.09127301841473179,3.0,2.0,5.0,19037
219,FDP,0.23747680890538034,0.660482374768089,0.10204081632653061,2.0,4.0,4.0,19037
220,BÜNDNIS 90/DIE GRÜNEN,0.21875,0.69375,0.0875,4.0,1.0,6.0,19037
221,SPD,0.27012278308321963,0.6275579809004093,0.10231923601637108,1.0,5.0,3.0,19037
222,AfD,0.21232876712328766,0.6301369863013698,0.15753424657534246,6.0,1.0,2.0,19038
223,DIE LINKE,0.21739130434782608,0.5869565217391305,0.1956521739130435,5.0,4.0,1.0,19038
224,CDU/CSU,0.32857142857142857,0.5857142857142857,0.08571428571428572,2.0,5.0,5.0,19038
225,FDP,0.3008849557522124,0.5929203539823009,0.10619469026548672,3.0,3.0,4.0,19038
226,BÜNDNIS 90/DIE GRÜNEN,0.2671232876712329,0.6095890410958904,0.1232876712328767,4.0,2.0,3.0,19038
227,SPD,0.4020618556701031,0.5360824742268041,0.061855670103092786,1.0,6.0,6.0,19038
228,AfD,0.22451790633608815,0.6446280991735537,0.13085399449035812,5.0,1.0,3.0,19039
229,DIE LINKE,0.18714285714285714,0.5971428571428572,0.21571428571428572,6.0,5.0,1.0,19039
230,CDU/CSU,0.2978723404255319,0.6028368794326241,0.09929078014184398,1.0,4.0,5.0,19039
231,FDP,0.2551181102362205,0.6346456692913386,0.11023622047244094,3.0,3.0,4.0,19039
232,BÜNDNIS 90/DIE GRÜNEN,0.2482758620689655,0.5827586206896552,0.16896551724137931,4.0,6.0,2.0,19039
233,SPD,0.26931330472103004,0.6351931330472103,0.09549356223175966,2.0,2.0,6.0,19039
234,AfD,0.21453287197231835,0.6660899653979239,0.11937716262975778,6.0,2.0,3.0,19040
235,DIE LINKE,0.25595238095238093,0.5505952380952381,0.19345238095238096,2.0,6.0,1.0,19040
236,CDU/CSU,0.24365942028985507,0.6992753623188406,0.057065217391304345,4.0,1.0,6.0,19040
237,FDP,0.2545454545454545,0.65,0.09545454545454546,3.0,4.0,4.0,19040
238,BÜNDNIS 90/DIE GRÜNEN,0.21875,0.6484375,0.1328125,5.0,5.0,2.0,19040
239,SPD,0.26300148588410105,0.6567607726597325,0.08023774145616643,1.0,3.0,5.0,19040
240,AfD,0.1598173515981735,0.726027397260274,0.1141552511415525,6.0,1.0,5.0,19041
241,DIE LINKE,0.18478260869565216,0.6739130434782609,0.14130434782608695,4.0,3.0,2.0,19041
242,CDU/CSU,0.27956989247311825,0.5752688172043011,0.14516129032258066,2.0,6.0,1.0,19041
243,FDP,0.16304347826086957,0.717391304347826,0.11956521739130435,5.0,2.0,3.0,19041
244,BÜNDNIS 90/DIE GRÜNEN,0.3027027027027027,0.6270270270270271,0.07027027027027027,1.0,5.0,6.0,19041
245,SPD,0.2545454545454545,0.6303030303030303,0.11515151515151516,3.0,4.0,4.0,19041
246,AfD,0.23159144893111638,0.6805225653206651,0.08788598574821853,5.0,2.0,4.0,19042
247,DIE LINKE,0.24074074074074073,0.5269360269360269,0.23232323232323232,4.0,6.0,1.0,19042
248,CDU/CSU,0.26548672566371684,0.6480999479437792,0.0864133263925039,1.0,4.0,5.0,19042
249,FDP,0.2301829268292683,0.6844512195121951,0.08536585365853659,6.0,1.0,6.0,19042
250,BÜNDNIS 90/DIE GRÜNEN,0.2564102564102564,0.5811965811965812,0.1623931623931624,2.0,5.0,2.0,19042
251,SPD,0.25,0.653010033444816,0.09698996655518395,3.0,3.0,3.0,19042
252,AfD,0.22852233676975944,0.6529209621993127,0.11855670103092783,5.0,2.0,2.0,19043
253,DIE LINKE,0.2,0.597752808988764,0.20224719101123595,6.0,5.0,1.0,19043
254,CDU/CSU,0.2855759922555663,0.6263310745401742,0.08809293320425944,2.0,4.0,6.0,19043
255,FDP,0.2540983606557377,0.6372950819672131,0.10860655737704918,3.0,3.0,4.0,19043
256,BÜNDNIS 90/DIE GRÜNEN,0.2868217054263566,0.5968992248062015,0.11627906976744186,1.0,6.0,3.0,19043
257,SPD,0.252400548696845,0.6584362139917695,0.08916323731138547,4.0,1.0,5.0,19043
258,AfD,0.18806509945750452,0.6763110307414105,0.13562386980108498,5.0,1.0,3.0,19044
259,DIE LINKE,0.1777434312210201,0.6197836166924265,0.20247295208655333,6.0,4.0,1.0,19044
260,CDU/CSU,0.30074074074074075,0.6414814814814814,0.057777777777777775,2.0,3.0,6.0,19044
261,FDP,0.24451939291736932,0.6610455311973018,0.09443507588532883,3.0,2.0,4.0,19044
262,BÜNDNIS 90/DIE GRÜNEN,0.2360248447204969,0.5900621118012422,0.17391304347826086,4.0,5.0,2.0,19044
263,SPD,0.36597938144329895,0.5695876288659794,0.06443298969072164,1.0,6.0,5.0,19044
264,AfD,0.2158859470468432,0.659877800407332,0.12423625254582485,6.0,3.0,2.0,19045
265,DIE LINKE,0.25129533678756477,0.5518134715025906,0.19689119170984457,3.0,6.0,1.0,19045
266,CDU/CSU,0.29036827195467424,0.6260623229461756,0.08356940509915015,2.0,4.0,4.0,19045
267,FDP,0.22784810126582278,0.6940928270042194,0.07805907172995781,4.0,1.0,5.0,19045
268,BÜNDNIS 90/DIE GRÜNEN,0.22477064220183487,0.6605504587155964,0.11467889908256881,5.0,2.0,3.0,19045
269,SPD,0.3028919330289193,0.6255707762557078,0.0715372907153729,1.0,5.0,6.0,19045
270,AfD,0.20667522464698332,0.6777920410783055,0.11553273427471117,4.0,2.0,2.0,19046
